step,x_deg,y_deg,x_voltage,y_voltage,gate_number,pmt_count,over_light
153,-1.6,-1.9500000000000002,-0.35555555555555557,-0.43333333333333335,2295,2962,0
154,-1.6500000000000001,-1.9500000000000002,-0.36666666666666664,-0.43333333333333335,2310,2914,0
155,-1.7000000000000002,-1.9500000000000002,-0.37777777777777777,-0.43333333333333335,2325,2451,0
156,-1.75,-1.9500000000000002,-0.3888888888888889,-0.43333333333333335,2340,1877,0
157,-1.8,-1.9500000000000002,-0.4,-0.43333333333333335,2355,1741,0
158,-1.85,-1.9500000000000002,-0.4111111111111111,-0.43333333333333335,2370,2000,0
159,-1.9000000000000001,-1.9500000000000002,-0.4222222222222222,-0.43333333333333335,2385,2007,0
160,-1.9500000000000002,-1.9500000000000002,-0.43333333333333335,-0.43333333333333335,2400,1876,0
161,-2.0,-1.9500000000000002,-0.4444444444444444,-0.43333333333333335,2415,1785,0
162,-2.0,-1.9000000000000001,-0.4444444444444444,-0.4222222222222222,2430,1479,0
163,-1.9500000000000002,-1.9000000000000001,-0.43333333333333335,-0.4222222222222222,2445,1175,0
164,-1.9000000000000001,-1.9000000000000001,-0.4222222222222222,-0.4222222222222222,2460,1404,0
165,-1.85,-1.9000000000000001,-0.4111111111111111,-0.4222222222222222,2475,2281,0
166,-1.8,-1.9000000000000001,-0.4,-0.4222222222222222,2490,2319,0
167,-1.75,-1.9000000000000001,-0.3888888888888889,-0.4222222222222222,2505,1652,0
168,-1.7000000000000002,-1.9000000000000001,-0.37777777777777777,-0.4222222222222222,2520,1481,0
169,-1.6500000000000001,-1.9000000000000001,-0.36666666666666664,-0.4222222222222222,2535,1591,0
170,-1.6,-1.9000000000000001,-0.35555555555555557,-0.4222222222222222,2550,2085,0
171,-1.55,-1.9000000000000001,-0.34444444444444444,-0.4222222222222222,2565,2191,0
172,-1.5,-1.9000000000000001,-0.3333333333333333,-0.4222222222222222,2580,2625,0
173,-1.4500000000000002,-1.9000000000000001,-0.32222222222222224,-0.4222222222222222,2595,3144,0
174,-1.4000000000000001,-1.9000000000000001,-0.31111111111111117,-0.4222222222222222,2610,3358,0
175,-1.35,-1.9000000000000001,-0.3,-0.4222222222222222,2625,2582,0
176,-1.3,-1.9000000000000001,-0.28888888888888886,-0.4222222222222222,2640,2342,0
177,-1.25,-1.9000000000000001,-0.2777777777777778,-0.4222222222222222,2655,2865,0
178,-1.2000000000000002,-1.9000000000000001,-0.2666666666666667,-0.4222222222222222,2670,2967,0
179,-1.1500000000000001,-1.9000000000000001,-0.2555555555555556,-0.4222222222222222,2685,2091,0
180,-1.1,-1.9000000000000001,-0.24444444444444444,-0.4222222222222222,2700,1707,0
181,-1.05,-1.9000000000000001,-0.23333333333333334,-0.4222222222222222,2715,1253,0
182,-1.0,-1.9000000000000001,-0.2222222222222222,-0.4222222222222222,2730,900,0
183,-0.9500000000000001,-1.9000000000000001,-0.2111111111111111,-0.4222222222222222,2745,827,0
184,-0.9,-1.9000000000000001,-0.2,-0.4222222222222222,2760,815,0
185,-0.8500000000000001,-1.9000000000000001,-0.18888888888888888,-0.4222222222222222,2775,889,0
186,-0.8,-1.9000000000000001,-0.17777777777777778,-0.4222222222222222,2790,1729,0
187,-0.75,-1.9000000000000001,-0.16666666666666666,-0.4222222222222222,2805,2116,0
188,-0.7000000000000001,-1.9000000000000001,-0.15555555555555559,-0.4222222222222222,2820,2377,0
189,-0.65,-1.9000000000000001,-0.14444444444444443,-0.4222222222222222,2835,2303,0
190,-0.6000000000000001,-1.9000000000000001,-0.13333333333333336,-0.4222222222222222,2850,2173,0
191,-0.55,-1.9000000000000001,-0.12222222222222222,-0.4222222222222222,2865,2153,0
192,-0.5,-1.9000000000000001,-0.1111111111111111,-0.4222222222222222,2880,2479,0
193,-0.45,-1.9000000000000001,-0.1,-0.4222222222222222,2895,2477,0
194,-0.4,-1.9000000000000001,-0.08888888888888889,-0.4222222222222222,2910,2570,0
195,-0.35000000000000003,-1.9000000000000001,-0.07777777777777779,-0.4222222222222222,2925,2677,0
196,-0.30000000000000004,-1.9000000000000001,-0.06666666666666668,-0.4222222222222222,2940,2579,0
197,-0.25,-1.9000000000000001,-0.05555555555555555,-0.4222222222222222,2955,2292,0
198,-0.2,-1.9000000000000001,-0.044444444444444446,-0.4222222222222222,2970,2035,0
199,-0.15000000000000002,-1.9000000000000001,-0.03333333333333334,-0.4222222222222222,2985,2022,0
200,-0.1,-1.9000000000000001,-0.022222222222222223,-0.4222222222222222,3000,1876,0
201,-0.05,-1.9000000000000001,-0.011111111111111112,-0.4222222222222222,3015,1571,0
202,0.0,-1.9000000000000001,0.0,-0.4222222222222222,3030,1964,0
203,0.05,-1.9000000000000001,0.011111111111111112,-0.4222222222222222,3045,1606,0
204,0.1,-1.9000000000000001,0.022222222222222223,-0.4222222222222222,3060,1857,0
205,0.15000000000000002,-1.9000000000000001,0.03333333333333334,-0.4222222222222222,3075,2408,0
206,0.2,-1.9000000000000001,0.044444444444444446,-0.4222222222222222,3090,2122,0
207,0.25,-1.9000000000000001,0.05555555555555555,-0.4222222222222222,3105,1114,0
208,0.30000000000000004,-1.9000000000000001,0.06666666666666668,-0.4222222222222222,3120,1725,0
209,0.35000000000000003,-1.9000000000000001,0.07777777777777779,-0.4222222222222222,3135,2004,0
210,0.4,-1.9000000000000001,0.08888888888888889,-0.4222222222222222,3150,1917,0
211,0.45,-1.9000000000000001,0.1,-0.4222222222222222,3165,1693,0
212,0.5,-1.9000000000000001,0.1111111111111111,-0.4222222222222222,3180,2457,0
213,0.55,-1.9000000000000001,0.12222222222222222,-0.4222222222222222,3195,2113,0
214,0.6000000000000001,-1.9000000000000001,0.13333333333333336,-0.4222222222222222,3210,1769,0
215,0.65,-1.9000000000000001,0.14444444444444443,-0.4222222222222222,3225,1803,0
216,0.7000000000000001,-1.9000000000000001,0.15555555555555559,-0.4222222222222222,3240,2294,0
217,0.75,-1.9000000000000001,0.16666666666666666,-0.4222222222222222,3255,3151,0
218,0.8,-1.9000000000000001,0.17777777777777778,-0.4222222222222222,3270,1684,0
219,0.8500000000000001,-1.9000000000000001,0.18888888888888888,-0.4222222222222222,3285,1216,0
220,0.9,-1.9000000000000001,0.2,-0.4222222222222222,3300,1166,0
221,0.9500000000000001,-1.9000000000000001,0.2111111111111111,-0.4222222222222222,3315,1121,0
222,1.0,-1.9000000000000001,0.2222222222222222,-0.4222222222222222,3330,1007,0
223,1.05,-1.9000000000000001,0.23333333333333334,-0.4222222222222222,3345,1188,0
224,1.1,-1.9000000000000001,0.24444444444444444,-0.4222222222222222,3360,1047,0
225,1.1500000000000001,-1.9000000000000001,0.2555555555555556,-0.4222222222222222,3375,1161,0
226,1.2000000000000002,-1.9000000000000001,0.2666666666666667,-0.4222222222222222,3390,1462,0
227,1.25,-1.9000000000000001,0.2777777777777778,-0.4222222222222222,3405,1516,0
228,1.3,-1.9000000000000001,0.28888888888888886,-0.4222222222222222,3420,1324,0
229,1.35,-1.9000000000000001,0.3,-0.4222222222222222,3435,892,0
230,1.4000000000000001,-1.9000000000000001,0.31111111111111117,-0.4222222222222222,3450,901,0
231,1.4500000000000002,-1.9000000000000001,0.32222222222222224,-0.4222222222222222,3465,1437,0
232,1.5,-1.9000000000000001,0.3333333333333333,-0.4222222222222222,3480,1780,0
233,1.55,-1.9000000000000001,0.34444444444444444,-0.4222222222222222,3495,1482,0
234,1.6,-1.9000000000000001,0.35555555555555557,-0.4222222222222222,3510,1110,0
235,1.6500000000000001,-1.9000000000000001,0.36666666666666664,-0.4222222222222222,3525,1224,0
236,1.7000000000000002,-1.9000000000000001,0.37777777777777777,-0.4222222222222222,3540,1349,0
237,1.75,-1.9000000000000001,0.3888888888888889,-0.4222222222222222,3555,1407,0
238,1.8,-1.9000000000000001,0.4,-0.4222222222222222,3570,2396,0
239,1.85,-1.9000000000000001,0.4111111111111111,-0.4222222222222222,3585,6450,0
240,1.9000000000000001,-1.9000000000000001,0.4222222222222222,-0.4222222222222222,3600,5447,0
241,1.9500000000000002,-1.9000000000000001,0.43333333333333335,-0.4222222222222222,3615,2525,0
242,2.0,-1.9000000000000001,0.4444444444444444,-0.4222222222222222,3630,2443,0
243,2.0,-1.85,0.4444444444444444,-0.4111111111111111,3645,2604,0
244,1.9500000000000002,-1.85,0.43333333333333335,-0.4111111111111111,3660,2634,0
245,1.9000000000000001,-1.85,0.4222222222222222,-0.4111111111111111,3675,2561,0
